flow_id,src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,noofpackets,packets
10.10.10.165-76.121.115.76-80-21010-263,10.10.10.165,76.121.115.76,80,21010,6,2024-06-01 16:09:33,0.018358230590820312,6209748.779220779,108942.96103896105,54471.48051948052,54471.48051948052,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.018358230590820312,0.018358230590820312,0.018358230590820312,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,281_283
10.10.10.165-75.78.46.198-80-21017-263,10.10.10.165,75.78.46.198,80,21017,6,2024-06-01 16:09:33,0.03314018249511719,3439932.7769784173,60349.69784172662,30174.84892086331,30174.84892086331,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.03314018249511719,0.03314018249511719,0.03314018249511719,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,287_288
10.10.10.165-216.170.143.104-80-21095-292,10.10.10.165,216.170.143.104,80,21095,6,2024-06-01 16:09:33,0.04029273986816406,2829293.822485207,49636.73372781065,24818.366863905325,24818.366863905325,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.04029273986816406,0.04029273986816406,0.04029273986816406,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,318_319
10.10.10.165-96.78.22.74-80-21119-310,10.10.10.165,96.78.22.74,80,21119,6,2024-06-01 16:09:34,0.042438507080078125,2686239.6404494382,47127.011235955055,23563.505617977527,23563.505617977527,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.042438507080078125,0.042438507080078125,0.042438507080078125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,339_340
10.10.10.165-186.196.234.164-80-21127-315,10.10.10.165,186.196.234.164,80,21127,6,2024-06-01 16:09:34,0.04696846008300781,2427160.69035533,42581.766497461926,21290.883248730963,21290.883248730963,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.04696846008300781,0.04696846008300781,0.04696846008300781,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,346_347
10.10.10.165-128.181.78.78-80-21272-327,10.10.10.165,128.181.78.78,80,21272,6,2024-06-01 16:09:34,0.0400543212890625,2846134.8571428573,49932.19047619047,24966.095238095237,24966.095238095237,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.0400543212890625,0.0400543212890625,0.0400543212890625,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,360_361
10.10.10.165-196.57.133.212-80-21290-328,10.10.10.165,196.57.133.212,80,21290,6,2024-06-01 16:09:34,0.03719329833984375,3065068.3076923075,53773.1282051282,26886.5641025641,26886.5641025641,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.03719329833984375,0.03719329833984375,0.03719329833984375,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,363_364
10.10.10.165-109.6.73.137-80-21297-328,10.10.10.165,109.6.73.137,80,21297,6,2024-06-01 16:09:34,0.045299530029296875,2516582.4,44150.56842105263,22075.284210526315,22075.284210526315,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.045299530029296875,0.045299530029296875,0.045299530029296875,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,365_366
10.10.10.165-81.149.96.176-80-21298-328,10.10.10.165,81.149.96.176,80,21298,6,2024-06-01 16:09:34,0.04100799560546875,2779945.6744186045,48770.976744186046,24385.488372093023,24385.488372093023,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.04100799560546875,0.04100799560546875,0.04100799560546875,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,367_368
10.10.10.165-166.232.80.157-80-21299-328,10.10.10.165,166.232.80.157,80,21299,6,2024-06-01 16:09:34,0.026702880859375,4269202.285714285,74898.28571428571,37449.142857142855,37449.142857142855,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.026702880859375,0.026702880859375,0.026702880859375,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,369_370
10.10.10.165-83.40.149.119-80-21301-328,10.10.10.165,83.40.149.119,80,21301,6,2024-06-01 16:09:34,0.05269050598144531,2163577.6289592762,37957.50226244344,18978.75113122172,18978.75113122172,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.05269050598144531,0.05269050598144531,0.05269050598144531,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,371_372
